,constellation,total_emissions_t,emission_per_capacity,emission_per_sqkm,emission_for_every_cost,mission_number,mission_total_emissions,mission_emission_per_capacity,mission_emission_per_sqkm,mission_emission_for_every_cost
18,Starlink,240276.477216,0.0041205838886436,2.084751787609412,0.0002204268457918,18,4324976.589888,0.0039676832242524,37.52553217696942,0.0039676832242524
19,Starlink,240276.477216,0.0041205838886436,2.084751787609412,0.0002204268457918,19,4565253.067104,0.0041881100700442,39.610283964578834,0.0041881100700442
20,Starlink,240276.477216,0.0041205838886436,2.084751787609412,0.0002204268457918,20,4805529.54432,0.004408536915836,41.69503575218825,0.004408536915836
21,Starlink,240276.477216,0.0041205838886436,2.084751787609412,0.0002184683384936,21,5045806.021536,0.0045878351083656,43.77978753979765,0.0045878351083656
22,Starlink,240276.477216,0.0041205838886436,2.084751787609412,0.0002184683384936,22,5286082.498752,0.0048063034468592,45.864539327407066,0.0048063034468592
23,Starlink,240276.477216,0.0041205838886436,2.084751787609412,0.0002184683384936,23,5526358.975968,0.0050247717853528,47.94929111501648,0.0050247717853528
24,Starlink,240276.477216,0.0041205838886436,2.084751787609412,0.0002165443276295,24,5766635.453184,0.005197063863108,50.03404290262589,0.005197063863108
25,Starlink,240276.477216,0.0041205838886436,2.084751787609412,0.0002165443276295,25,6006911.9304,0.0054136081907375,52.118794690235305,0.0054136081907375
26,Starlink,240276.477216,0.0041205838886436,2.084751787609412,0.0002165443276295,26,6247188.407616,0.005630152518367,54.20354647784472,0.005630152518367
27,Starlink,240276.477216,0.0041205838886436,2.084751787609412,0.0002495842527198,27,6487464.884832,0.0067387748234346,56.28829826545413,0.0067387748234346
28,Starlink,240276.477216,0.0041205838886436,2.084751787609412,0.0002495842527198,28,6727741.362048,0.0069883590761544,58.37305005306354,0.0069883590761544
29,Starlink,240276.477216,0.0041205838886436,2.084751787609412,0.0002495842527198,29,6968017.839264,0.007237943328874201,60.45780184067295,0.007237943328874201
30,Starlink,240276.477216,0.0041205838886436,2.084751787609412,0.000247076293557,30,7208294.31648,0.0074122888067099995,62.54255362828236,0.0074122888067099995
31,Starlink,240276.477216,0.0041205838886436,2.084751787609412,0.000247076293557,31,7448570.793696,0.007659365100267,64.62730541589178,0.007659365100267
32,Starlink,240276.477216,0.0041205838886436,2.084751787609412,0.000247076293557,32,7688847.270912,0.007906441393824,66.71205720350119,0.007906441393824
33,Starlink,240276.477216,0.0041205838886436,2.084751787609412,0.0002446182356514,33,7929123.748128,0.0080724017764962,68.7968089911106,0.0080724017764962
34,Starlink,240276.477216,0.0041205838886436,2.084751787609412,0.0002446182356514,34,8169400.225344,0.0083170200121476,70.88156077872002,0.0083170200121476
35,Starlink,240276.477216,0.0041205838886436,2.084751787609412,0.0002446182356514,35,8409676.70256,0.008561638247799002,72.96631256632942,0.008561638247799002
36,Starlink,240276.477216,0.0041205838886436,2.084751787609412,0.0002341011510603,36,8649953.179776,0.0084276414381708,75.05106435393884,0.0084276414381708
37,Starlink,240276.477216,0.0041205838886436,2.084751787609412,0.0002341011510603,37,8890229.656992,0.0086617425892311,77.13581614154825,0.0086617425892311
38,Starlink,240276.477216,0.0041205838886436,2.084751787609412,0.0002341011510603,38,9130506.134208,0.0088958437402914,79.22056792915767,0.0088958437402914
39,Starlink,240276.477216,0.0041205838886436,2.084751787609412,0.0002318933293111,39,9370782.611424,0.0090438398431329,81.30531971676707,0.0090438398431329
40,Starlink,240276.477216,0.0041205838886436,2.084751787609412,0.0002318933293111,40,9611059.08864,0.009275733172444,83.3900715043765,0.009275733172444
41,Starlink,240276.477216,0.0041205838886436,2.084751787609412,0.0002318933293111,41,9851335.565856,0.009507626501755101,85.4748232919859,0.009507626501755101
42,Starlink,240276.477216,0.0041205838886436,2.084751787609412,0.0002297267626765,42,10091612.043072,0.009648524032413,87.5595750795953,0.009648524032413
43,Starlink,240276.477216,0.0041205838886436,2.084751787609412,0.0002297267626765,43,10331888.520288,0.0098782507950895,89.64432686720473,0.0098782507950895
44,Starlink,240276.477216,0.0041205838886436,2.084751787609412,0.0002297267626765,44,10572164.997504,0.010107977557766,91.72907865481413,0.010107977557766
45,Starlink,240276.477216,0.0041205838886436,2.084751787609412,0.0002204268457918,45,10812441.47472,0.009919208060631,93.81383044242355,0.009919208060631
46,Starlink,240276.477216,0.0041205838886436,2.084751787609412,0.0002204268457918,46,11052717.951936,0.0101396349064228,95.89858223003296,0.0101396349064228
47,Starlink,240276.477216,0.0041205838886436,2.084751787609412,0.0002204268457918,47,11292994.429152,0.0103600617522146,97.98333401764238,0.0103600617522146
48,Starlink,240276.477216,0.0041205838886436,2.084751787609412,0.0002184683384936,48,11533270.906368,0.0104864802476928,100.06808580525178,0.0104864802476928
49,Starlink,240276.477216,0.0041205838886436,2.084751787609412,0.0002184683384936,49,11773547.383584,0.0107049485861864,102.15283759286119,0.0107049485861864
50,Starlink,240276.477216,0.0041205838886436,2.084751787609412,0.0002184683384936,50,12013823.8608,0.01092341692468,104.23758938047061,0.01092341692468
51,Starlink,240276.477216,0.0041205838886436,2.084751787609412,0.0002165443276295,51,12254100.338016,0.011043760709104499,106.32234116808002,0.011043760709104499
52,Starlink,240276.477216,0.0041205838886436,2.084751787609412,0.0002165443276295,52,12494376.815232,0.011260305036734,108.40709295568944,0.011260305036734
53,Starlink,240276.477216,0.0041205838886436,2.084751787609412,0.0002165443276295,53,12734653.292448,0.0114768493643635,110.49184474329884,0.0114768493643635
54,Starlink,240276.477216,0.0041205838886436,2.084751787609412,0.0002495842527198,54,12974929.769664,0.0134775496468692,112.57659653090826,0.0134775496468692
55,Starlink,240276.477216,0.0041205838886436,2.084751787609412,0.0002495842527198,55,13215206.24688,0.013727133899589001,114.66134831851767,0.013727133899589001
56,Starlink,240276.477216,0.0041205838886436,2.084751787609412,0.0002495842527198,56,13455482.724096,0.0139767181523088,116.74610010612707,0.0139767181523088
57,Starlink,240276.477216,0.0041205838886436,2.084751787609412,0.000247076293557,57,13695759.201312,0.014083348732749,118.8308518937365,0.014083348732749
58,Starlink,240276.477216,0.0041205838886436,2.084751787609412,0.000247076293557,58,13936035.678528,0.014330425026306,120.9156036813459,0.014330425026306
59,Starlink,240276.477216,0.0041205838886436,2.084751787609412,0.000247076293557,59,14176312.155744,0.014577501319862999,123.00035546895532,0.014577501319862999
60,Starlink,240276.477216,0.0041205838886436,2.084751787609412,0.0002446182356514,60,14416588.63296,0.014677094139084001,125.08510725656473,0.014677094139084001
61,Starlink,240276.477216,0.0041205838886436,2.084751787609412,0.0002446182356514,61,14656865.110176,0.0149217123747354,127.16985904417415,0.0149217123747354
62,Starlink,240276.477216,0.0041205838886436,2.084751787609412,0.0002446182356514,62,14897141.587392,0.015166330610386802,129.25461083178357,0.015166330610386802
63,Starlink,240276.477216,0.0041205838886436,2.084751787609412,0.0002341011510603,63,15137418.064608,0.0147483725167989,131.33936261939297,0.0147483725167989
64,Starlink,240276.477216,0.0041205838886436,2.084751787609412,0.0002341011510603,64,15377694.541824,0.0149824736678592,133.42411440700238,0.0149824736678592
65,Starlink,240276.477216,0.0041205838886436,2.084751787609412,0.0002341011510603,65,15617971.01904,0.0152165748189195,135.50886619461178,0.0152165748189195
66,Starlink,240276.477216,0.0041205838886436,2.084751787609412,0.0002318933293111,66,15858247.496256,0.0153049597345326,137.5936179822212,0.0153049597345326
