,Entity,Code,Year,yearly_launches,Decade,Region
365,Germany,DEU,2006,1,2000 - 2010,Europe
366,Germany,DEU,2007,3,2000 - 2010,Europe
367,Germany,DEU,2008,9,2000 - 2010,Europe
368,Germany,DEU,2009,4,2000 - 2010,Europe
369,Germany,DEU,2010,2,2010 - 2022,Europe
370,Germany,DEU,2012,1,2010 - 2022,Europe
371,Germany,DEU,2013,6,2010 - 2022,Europe
372,Germany,DEU,2014,1,2010 - 2022,Europe
373,Germany,DEU,2016,2,2010 - 2022,Europe
374,Germany,DEU,2017,2,2010 - 2022,Europe
375,Germany,DEU,2018,12,2010 - 2022,Europe
376,Germany,DEU,2019,11,2010 - 2022,Europe
377,Germany,DEU,2020,5,2010 - 2022,Europe
378,Germany,DEU,2021,10,2010 - 2022,Europe
379,Germany,DEU,2022,2,2010 - 2022,Europe
380,Ghana,GHA,2017,1,2010 - 2022,Africa
381,Greece,GRC,2003,1,2000 - 2010,Europe
382,Greece,GRC,2017,1,2010 - 2022,Europe
383,Greece,GRC,2019,1,2010 - 2022,Europe
384,Guatemala,GTM,2020,1,2010 - 2022,Americas
385,Hungary,HUN,2012,1,2010 - 2022,Europe
386,Hungary,HUN,2019,2,2010 - 2022,Europe
387,Hungary,HUN,2021,2,2010 - 2022,Europe
388,India,IND,1975,1,1970 - 1980,Asia
389,India,IND,1979,1,1970 - 1980,Asia
390,India,IND,1980,1,1980 - 1990,Asia
391,India,IND,1981,3,1980 - 1990,Asia
392,India,IND,1982,2,1980 - 1990,Asia
393,India,IND,1983,2,1980 - 1990,Asia
394,India,IND,1988,3,1980 - 1990,Asia
395,India,IND,1990,2,1990 - 2000,Asia
396,India,IND,1991,1,1990 - 2000,Asia
397,India,IND,1992,2,1990 - 2000,Asia
398,India,IND,1993,1,1990 - 2000,Asia
399,India,IND,1994,2,1990 - 2000,Asia
400,India,IND,1995,2,1990 - 2000,Asia
401,India,IND,1996,1,1990 - 2000,Asia
402,India,IND,1997,2,1990 - 2000,Asia
403,India,IND,1999,2,1990 - 2000,Asia
404,India,IND,2000,1,2000 - 2010,Asia
405,India,IND,2001,2,2000 - 2010,Asia
406,India,IND,2002,2,2000 - 2010,Asia
407,India,IND,2003,4,2000 - 2010,Asia
408,India,IND,2004,1,2000 - 2010,Asia
409,India,IND,2005,3,2000 - 2010,Asia
410,India,IND,2007,5,2000 - 2010,Asia
411,India,IND,2008,4,2000 - 2010,Asia
412,India,IND,2009,4,2000 - 2010,Asia
413,India,IND,2010,2,2010 - 2022,Asia
414,India,IND,2011,7,2010 - 2022,Asia
415,India,IND,2012,2,2010 - 2022,Asia
416,India,IND,2013,5,2010 - 2022,Asia
417,India,IND,2014,4,2010 - 2022,Asia
418,India,IND,2015,4,2010 - 2022,Asia
419,India,IND,2016,12,2010 - 2022,Asia
420,India,IND,2017,9,2010 - 2022,Asia
421,India,IND,2018,10,2010 - 2022,Asia
