,elevation,flight,iteration,band,accuracy,image_processing,grouped_band
304,50,pre-sunset,3,RGB_IP,0.593,Yes,RGB
305,100,pre-sunset,3,RGB_IP,0.744,Yes,RGB
306,150,pre-sunset,3,RGB_IP,0.898,Yes,RGB
307,200,pre-sunset,3,RGB_IP,0.755,Yes,RGB
308,250,pre-sunset,3,RGB_IP,0.838,Yes,RGB
309,300,pre-sunset,3,RGB_IP,0.696,Yes,RGB
310,350,pre-sunset,3,RGB_IP,0.61,Yes,RGB
311,400,pre-sunset,3,RGB_IP,0.491,Yes,RGB
312,50,post-sunset,3,RGB_IP,0.505,Yes,RGB
313,100,post-sunset,3,RGB_IP,0.695,Yes,RGB
314,150,post-sunset,3,RGB_IP,0.854,Yes,RGB
315,200,post-sunset,3,RGB_IP,0.278,Yes,RGB
316,250,post-sunset,3,RGB_IP,0.348,Yes,RGB
317,300,post-sunset,3,RGB_IP,0.103,Yes,RGB
318,350,post-sunset,3,RGB_IP,0.151,Yes,RGB
319,400,post-sunset,3,RGB_IP,0.116,Yes,RGB
320,50,pre-sunrise,4,RGB_IP,1.0,Yes,RGB
321,100,pre-sunrise,4,RGB_IP,0.405,Yes,RGB
322,150,pre-sunrise,4,RGB_IP,0.0,Yes,RGB
323,200,pre-sunrise,4,RGB_IP,0.405,Yes,RGB
324,250,pre-sunrise,4,RGB_IP,0.0,Yes,RGB
325,300,pre-sunrise,4,RGB_IP,0.0,Yes,RGB
326,350,pre-sunrise,4,RGB_IP,0.172,Yes,RGB
327,400,pre-sunrise,4,RGB_IP,0.077,Yes,RGB
328,50,post-sunrise,4,RGB_IP,1.0,Yes,RGB
329,100,post-sunrise,4,RGB_IP,0.672,Yes,RGB
330,150,post-sunrise,4,RGB_IP,0.755,Yes,RGB
331,200,post-sunrise,4,RGB_IP,0.815,Yes,RGB
332,250,post-sunrise,4,RGB_IP,0.755,Yes,RGB
333,300,post-sunrise,4,RGB_IP,0.755,Yes,RGB
334,350,post-sunrise,4,RGB_IP,0.505,Yes,RGB
335,400,post-sunrise,4,RGB_IP,0.641,Yes,RGB
336,50,noon,4,RGB_IP,0.697,Yes,RGB
337,100,noon,4,RGB_IP,0.922,Yes,RGB
338,150,noon,4,RGB_IP,0.767,Yes,RGB
339,200,noon,4,RGB_IP,0.88,Yes,RGB
340,250,noon,4,RGB_IP,0.791,Yes,RGB
341,300,noon,4,RGB_IP,0.734,Yes,RGB
342,350,noon,4,RGB_IP,0.374,Yes,RGB
343,400,noon,4,RGB_IP,0.462,Yes,RGB
344,50,pre-sunset,4,RGB_IP,0.905,Yes,RGB
345,100,pre-sunset,4,RGB_IP,0.672,Yes,RGB
346,150,pre-sunset,4,RGB_IP,0.914,Yes,RGB
347,200,pre-sunset,4,RGB_IP,0.81,Yes,RGB
348,250,pre-sunset,4,RGB_IP,0.813,Yes,RGB
349,300,pre-sunset,4,RGB_IP,0.771,Yes,RGB
350,350,pre-sunset,4,RGB_IP,0.512,Yes,RGB
351,400,pre-sunset,4,RGB_IP,0.549,Yes,RGB
352,50,post-sunset,4,RGB_IP,0.576,Yes,RGB
353,100,post-sunset,4,RGB_IP,0.073,Yes,RGB
354,150,post-sunset,4,RGB_IP,0.588,Yes,RGB
355,200,post-sunset,4,RGB_IP,0.505,Yes,RGB
356,250,post-sunset,4,RGB_IP,0.332,Yes,RGB
357,300,post-sunset,4,RGB_IP,0.168,Yes,RGB
358,350,post-sunset,4,RGB_IP,0.17,Yes,RGB
359,400,post-sunset,4,RGB_IP,0.325,Yes,RGB
360,50,pre-sunrise,5,RGB_IP,0.0,Yes,RGB
361,100,pre-sunrise,5,RGB_IP,0.405,Yes,RGB
362,150,pre-sunrise,5,RGB_IP,0.128,Yes,RGB
363,200,pre-sunrise,5,RGB_IP,0.0,Yes,RGB
364,250,pre-sunrise,5,RGB_IP,0.0,Yes,RGB
365,300,pre-sunrise,5,RGB_IP,0.337,Yes,RGB
366,350,pre-sunrise,5,RGB_IP,0.146,Yes,RGB
367,400,pre-sunrise,5,RGB_IP,0.431,Yes,RGB
368,50,post-sunrise,5,RGB_IP,0.719,Yes,RGB
369,100,post-sunrise,5,RGB_IP,1.0,Yes,RGB
370,150,post-sunrise,5,RGB_IP,0.672,Yes,RGB
371,200,post-sunrise,5,RGB_IP,0.999,Yes,RGB
372,250,post-sunrise,5,RGB_IP,0.935,Yes,RGB
373,300,post-sunrise,5,RGB_IP,0.38,Yes,RGB
374,350,post-sunrise,5,RGB_IP,0.747,Yes,RGB
375,400,post-sunrise,5,RGB_IP,0.588,Yes,RGB
376,50,noon,5,RGB_IP,0.851,Yes,RGB
377,100,noon,5,RGB_IP,0.922,Yes,RGB
378,150,noon,5,RGB_IP,0.88,Yes,RGB
