iteration,constellation,number_of_satellites,number_of_ground_stations,subscribers_low,subscribers_baseline,subscribers_high,satellite_manufacturing,satellite_launch_cost,ground_station_cost,regulation_fees,fiber_infrastructure_cost,ground_station_energy,subscriber_acquisition,staff_costs,maintenance_costs,capex_costs,opex_costs,discount_rate,assessment_period_year
69,Starlink,4425,150,2500000,3500000,4500000,1199657325,1194338475,87223200,2412050,8287350,105600,23036531,412748600,8517559,2489506350,1960295225.2650383,7,5
70,Starlink,4425,150,2500000,3500000,4500000,1242464775,1198998000,84618150,2342130,8720550,104850,23066796,226377800,8522595,2534801475,1142491982.3539214,7,5
71,Starlink,4425,150,2500000,3500000,4500000,1217255550,1230017250,84164850,2490330,9326100,91650,23049331,425013600,8401620,2540763750,2013934108.0439162,7,5
72,Starlink,4425,150,2500000,3500000,4500000,928997775,1226645400,67537350,2162960,8580900,97650,23095334,245289000,8536876,2231761425,1224829623.3040853,7,5
73,Starlink,4425,150,2500000,3500000,4500000,1319663325,1194316350,68678250,2244470,7185900,111300,22914816,381284200,8490214,2589843825,1820890095.9390697,7,5
74,Starlink,4425,150,2500000,3500000,4500000,1119533850,1195524375,87031950,2380320,4800450,92850,22929956,239494200,8446627,2406890625,1199217667.487946,7,5
75,Starlink,4425,150,2500000,3500000,4500000,1259970075,1177235850,72027000,2273160,6536100,109350,22909869,314853000,8395982,2515769025,1529124582.3224566,7,5
76,Starlink,4425,150,2500000,3500000,4500000,924072750,1208228550,64858350,2441690,6844650,104100,22908876,455518800,8441114,2204004300,2147165154.453564,7,5
77,Starlink,4425,150,2500000,3500000,4500000,1529195925,1195714650,82318650,2380890,8476650,106500,22941602,289597000,8496733,2815705875,1419362540.841883,7,5
78,Starlink,4425,150,2500000,3500000,4500000,1010156700,1209109125,69603600,2384500,6869100,92100,23077570,490914600,8454745,2295738525,2302950353.7906103,7,5
79,Starlink,4425,150,2500000,3500000,4500000,1523000925,1232291700,65602350,2246560,9268200,110250,22946976,514923200,8480661,2830163175,2407296365.426234,7,5
80,Starlink,4425,150,2500000,3500000,4500000,1492428600,1206024900,62909400,2454230,7907550,104850,22915864,454506800,8361337,2769270450,2142464261.9794743,7,5
81,Starlink,4425,150,2500000,3500000,4500000,1134822225,1225074525,84055200,2422500,5216850,91200,22903287,376615800,8499306,2449168800,1801091019.549295,7,5
82,Starlink,4425,150,2500000,3500000,4500000,700955400,1216118325,65179800,2459550,7353000,102000,22955881,486666400,8379409,1989606525,2283820906.229332,7,5
83,Starlink,4425,150,2500000,3500000,4500000,767622450,1205600100,62636100,2455180,5653500,93300,23006797,421733400,8355959,2041512150,1999009276.006608,7,5
84,Starlink,4425,150,2500000,3500000,4500000,702021825,1202653050,76049700,2379560,8032200,118050,22937074,410383600,8500743,1988756775,1949321436.7154987,7,5
85,Starlink,4425,150,2500000,3500000,4500000,694304625,1163602425,62964750,2235920,8812200,102600,23053764,500944400,8346121,1929684000,2345766420.733706,7,5
86,Starlink,4425,150,2500000,3500000,4500000,859211100,1155217050,73483200,2192600,5183850,106200,22939526,514274200,8365203,2093095200,2403655339.834692,7,5
87,Starlink,4425,150,2500000,3500000,4500000,1136955075,1154247975,67486800,2181390,7512750,118800,22916112,409868800,8528408,2366202600,1946226184.5914721,7,5
88,Starlink,4425,150,2500000,3500000,4500000,823111950,1235097150,82537200,2423260,8830350,94950,22991252,303547200,8403127,2149576650,1480507384.904741,7,5
89,Starlink,4425,150,2500000,3500000,4500000,1428204150,1214113800,74576550,2228510,6736950,90900,22959150,266939200,8346469,2723631450,1318638768.759201,7,5
90,Starlink,4425,150,2500000,3500000,4500000,708044250,1193471175,72578400,2295200,5127300,96300,22943333,250703200,8358574,1979221125,1247707995.5305471,7,5
91,Starlink,4425,150,2500000,3500000,4500000,1054141200,1196688150,76322700,2386970,7521300,118050,23004756,234476000,8471130,2334673350,1177777159.8786778,7,5
92,Starlink,4425,150,2500000,3500000,4500000,1138795875,1197480225,70812750,2140350,7179600,113250,23094369,371692200,8431861,2414268450,1778891454.1972785,7,5
93,Starlink,4425,150,2500000,3500000,4500000,1403021475,1184453025,84808200,2272590,9077550,115650,23007682,365831400,8501693,2681360250,1753695634.143237,7,5
94,Starlink,4425,150,2500000,3500000,4500000,1212135825,1193595075,81756750,2299190,7771500,114900,22985031,362386200,8490587,2495259150,1738546124.2430627,7,5
95,Starlink,4425,150,2500000,3500000,4500000,880986525,1153332000,65560350,2348780,8609400,115200,23011624,327067400,8515588,2108488275,1584040319.0654156,7,5
96,Starlink,4425,150,2500000,3500000,4500000,1442908425,1213494300,68365200,2341940,6254100,105300,23096393,425779200,8344499,2731022025,2016657693.1791403,7,5
97,Starlink,4425,150,2500000,3500000,4500000,938467275,1184625600,60861600,2380700,6281100,104850,22954108,541310000,8348468,2190235575,2523076971.9585085,7,5
98,Starlink,4425,150,2500000,3500000,4500000,1017064125,1162982925,64711050,2261950,5534700,109500,23084953,436504200,8472582,2250292800,2063889764.6461763,7,5
99,Starlink,4425,150,2500000,3500000,4500000,831059250,1182559125,76220700,2292730,7953750,98100,22975818,497266000,8521051,2097792825,2330283487.1652517,7,5
0,OneWeb,720,44,500000,800000,1000000,346683600,114190560,20677844,1281300,2675112,29788,3228909,221764800,2459678,484227116,1003638079.7990601,7,5
1,OneWeb,720,44,500000,800000,1000000,268449120,111365280,24662132,1309400,2319680,34848,3318198,151593600,2555269,406796212,696738788.8218381,7,5
2,OneWeb,720,44,500000,800000,1000000,268219440,114870960,21373352,1267900,2349512,29788,3202063,256653600,2405495,406813264,1156288335.911842,7,5
3,OneWeb,720,44,500000,800000,1000000,254056320,109398240,20121200,1158700,2266792,34936,3246436,282338400,2395930,385842552,1268669191.535624,7,5
4,OneWeb,720,44,500000,800000,1000000,343871280,110723760,24420044,1303700,1600456,32692,3333477,142462800,2537587,480615540,656635031.8810372,7,5
5,OneWeb,720,44,500000,800000,1000000,268940160,116604720,22757724,1129000,1841576,30888,3253305,188854800,2391667,410144180,858400262.7879044,7,5
6,OneWeb,720,44,500000,800000,1000000,292917600,111560400,24732532,1234600,2308812,34232,3225644,235752000,2412704,431519344,1064597085.9803058,7,5
7,OneWeb,720,44,500000,800000,1000000,250737840,114524640,23781780,1285900,1659680,34584,3357436,238950000,2565567,390703940,1080102837.434505,7,5
8,OneWeb,720,44,500000,800000,1000000,353784960,113940000,25592820,1208800,2036716,31152,3392303,222288000,2574706,495354496,1006842876.2009494,7,5
9,OneWeb,720,44,500000,800000,1000000,290044080,115248240,23190640,1175700,1768228,29040,3294886,291673200,2418723,430251188,1309984204.8577998,7,5
10,OneWeb,720,44,500000,800000,1000000,241070400,107589600,23931336,1314100,2173952,30096,3340268,172243200,2472762,374765288,787067568.3616235,7,5
11,OneWeb,720,44,500000,800000,1000000,225629280,110049120,26082012,1251100,2110724,29040,3300069,242624400,2458720,363871136,1095325767.3150563,7,5
12,OneWeb,720,44,500000,800000,1000000,254253600,110886480,20453312,1212300,1722248,28952,3281149,192724800,2498353,387315640,876325942.9374228,7,5
13,OneWeb,720,44,500000,800000,1000000,357319440,117475920,21839532,1233000,2100252,31592,3233362,138181200,2387084,498735144,636436232.2864748,7,5
14,OneWeb,720,44,500000,800000,1000000,251915040,115383600,25938132,1264600,2534928,26664,3390260,226430400,2553859,395771700,1025141153.428057,7,5
