constellation,subscribers_low,subscribers_baseline,subscribers_high,capex_costs,opex_costs,total_cost_ownership,assessment_period_year,capex_scenario,opex_scenario
Starlink,2500000,3500000,4500000,1969070850.0,431440500,3908025285.4074626,5,High,Low
Starlink,2500000,3500000,4500000,2411570850.0,431430500,4350481413.294898,5,High,Low
Starlink,2500000,3500000,4500000,2411570850.0,431435500,4350503349.351181,5,High,Low
Starlink,2500000,3500000,4500000,2411570850.0,431440500,4350525285.407463,5,High,Low
Starlink,2500000,3500000,4500000,2854070850.0,431430500,4792981413.294898,5,High,Low
Starlink,2500000,3500000,4500000,2854070850.0,431435500,4793003349.351181,5,High,Low
Starlink,2500000,3500000,4500000,2854070850.0,431440500,4793025285.407463,5,High,Low
Starlink,2500000,3500000,4500000,1969070850.0,481430500,4127341976.1180944,5,High,Low
Starlink,2500000,3500000,4500000,1969070850.0,481435500,4127363912.1743765,5,High,Low
Starlink,2500000,3500000,4500000,1969070850.0,481440500,4127385848.230659,5,High,Low
Starlink,2500000,3500000,4500000,2411570850.0,481430500,4569841976.118094,5,High,Low
Starlink,2500000,3500000,4500000,2411570850.0,481435500,4569863912.1743765,5,High,Low
Starlink,2500000,3500000,4500000,2411570850.0,481440500,4569885848.2306595,5,High,Low
Starlink,2500000,3500000,4500000,2854070850.0,481430500,5012341976.118094,5,High,Low
Starlink,2500000,3500000,4500000,2854070850.0,481435500,5012363912.1743765,5,High,Low
Starlink,2500000,3500000,4500000,2854070850.0,481440500,5012385848.2306595,5,High,Low
Starlink,2500000,3500000,4500000,1969070850.0,381530500,3689059571.597348,5,High,Baseline
Starlink,2500000,3500000,4500000,1969070850.0,381535500,3689081507.6536303,5,High,Baseline
Starlink,2500000,3500000,4500000,1969070850.0,381540500,3689103443.709913,5,High,Baseline
Starlink,2500000,3500000,4500000,2411570850.0,381530500,4131559571.597348,5,High,Baseline
Starlink,2500000,3500000,4500000,2411570850.0,381535500,4131581507.6536303,5,High,Baseline
Starlink,2500000,3500000,4500000,2411570850.0,381540500,4131603443.709913,5,High,Baseline
Starlink,2500000,3500000,4500000,2854070850.0,381530500,4574059571.597348,5,High,Baseline
Starlink,2500000,3500000,4500000,2854070850.0,381535500,4574081507.65363,5,High,Baseline
Starlink,2500000,3500000,4500000,2854070850.0,381540500,4574103443.709913,5,High,Baseline
Starlink,2500000,3500000,4500000,1969070850.0,431530500,3908420134.4205446,5,High,Baseline
Starlink,2500000,3500000,4500000,1969070850.0,431535500,3908442070.4768267,5,High,Baseline
Starlink,2500000,3500000,4500000,1969070850.0,431540500,3908464006.533109,5,High,Baseline
Starlink,2500000,3500000,4500000,2411570850.0,431530500,4350920134.420545,5,High,Baseline
Starlink,2500000,3500000,4500000,2411570850.0,431535500,4350942070.476827,5,High,Baseline
Starlink,2500000,3500000,4500000,2411570850.0,431540500,4350964006.53311,5,High,Baseline
Starlink,2500000,3500000,4500000,2854070850.0,431530500,4793420134.420545,5,High,Baseline
Starlink,2500000,3500000,4500000,2854070850.0,431535500,4793442070.476827,5,High,Baseline
