constellation,no_of_satellites,no_of_launches,climate_change_baseline_kg,climate_change_worst_case_kg,ozone_depletion_baseline_kg,ozone_depletion_worst_case_kg,resource_depletion_kg,freshwater_toxicity_m3,human_toxicity,subscribers,subscriber_scenario,impact_category,rocket_detailed,scenario,status,representative_of,rocket_type,annual_baseline_emission_kg,annual_worst_case_emission_kg
geo_generic,19,19,463542495.36,463542495.36,32.198314318,32.198314318,135439.08434,1324965712.1200001,196.18863212,1500000,subscribers_low,launcher_production,unknown_hyc,scenario3,scenario,Representative,hydrogen,30902833.024,30902833.024
starlink,4425,127,205265471.739,205265471.739,19.885062592,19.885062592,1988.1423724499998,978039064.111,61.751737177,2500000,subscribers_low,launcher_ait,falcon9,scenario1,Historical,Modeled,hydrocarbon,41053094.3478,41053094.3478
oneweb,394,14,22627689.798,22627689.798,2.192054144,2.192054144,219.16530089999998,107815329.902,6.807278114,500000,subscribers_low,launcher_ait,soyuz,scenario1,Historical,Modeled,hydrocarbon,4525537.9596,4525537.9596
oneweb,180,5,8081317.785,8081317.785,0.78287648,0.78287648,78.27332175,38505474.964999996,2.431170755,500000,subscribers_low,launcher_ait,falcon9,scenario1,Historical,Modeled,hydrocarbon,1616263.557,1616263.557
oneweb,72,2,3232527.114,3232527.114,0.313150592,0.313150592,31.3093287,15402189.986,0.972468302,500000,subscribers_low,launcher_ait,lvm3_hydrogen,scenario1,Historical,Representative,hydrogen,646505.4228000001,646505.4228000001
kuiper,648,18,29092744.026,29092744.026,2.818355328,2.818355328,281.7839583,138619709.87399998,8.752214718,1500000,subscribers_low,launcher_ait,ariane_6_hydrogen,scenario1,scenario,Representative,hydrogen,5818548.8052,5818548.8052
kuiper,972,27,43639116.039000005,43639116.039000005,4.227532992,4.227532992,422.67593745,207929564.811,13.128322077,1500000,subscribers_low,launcher_ait,glenn_hydrocarbon,scenario1,scenario,Representative,hydrocarbon,8727823.2078,8727823.2078
kuiper,1368,38,61418015.166,61418015.166,5.949861248,5.949861248,594.8772452999999,292641609.73399997,18.476897738,1500000,subscribers_low,launcher_ait,vulcan_hydrocarbon,scenario1,scenario,Representative,hydrocarbon,12283603.0332,12283603.0332
kuiper,108,3,4848790.671,4848790.671,0.46972588800000004,0.46972588800000004,46.96399305,23103284.979,1.458702453,1500000,subscribers_low,launcher_ait,falcon9,scenario1,scenario,Representative,hydrocarbon,969758.1342,969758.1342
kuiper,72,2,3232527.114,3232527.114,0.313150592,0.313150592,31.3093287,15402189.986,0.972468302,1500000,subscribers_low,launcher_ait,unknown_hydrocarbon,scenario1,scenario,Representative,hydrocarbon,646505.4228000001,646505.4228000001
kuiper,72,2,3232527.114,3232527.114,0.313150592,0.313150592,31.3093287,15402189.986,0.972468302,1500000,subscribers_low,launcher_ait,unknown_hydrogen,scenario1,scenario,Representative,hydrogen,646505.4228000001,646505.4228000001
geo_generic,10,10,16162635.57,16162635.57,1.56575296,1.56575296,156.5466435,77010949.92999999,4.86234151,1500000,subscribers_low,launcher_ait,unknown_hydrocarbon,scenario1,scenario,Representative,hydrocarbon,1077509.038,1077509.038
geo_generic,9,9,14546372.013,14546372.013,1.409177664,1.409177664,140.89197915,69309854.93699999,4.376107359,1500000,subscribers_low,launcher_ait,unknown_hydrogen,scenario1,scenario,Representative,hydrogen,969758.1342,969758.1342
starlink,4425,192,310322602.944,310322602.944,30.062456832000002,30.062456832000002,3005.6955552,1478610238.656,93.356956992,2500000,subscribers_low,launcher_ait,unknown_hyg,scenario2,scenario,Representative,hydrocarbon,62064520.5888,62064520.5888
oneweb,648,18,29092744.026,29092744.026,2.818355328,2.818355328,281.7839583,138619709.87399998,8.752214718,500000,subscribers_low,launcher_ait,unknown_hyg,scenario2,scenario,Representative,hydrocarbon,5818548.8052,5818548.8052
kuiper,3236,90,145463720.13,145463720.13,14.09177664,14.09177664,1408.9197915,693098549.37,43.76107359,1500000,subscribers_low,launcher_ait,unknown_hyg,scenario2,scenario,Representative,hydrocarbon,29092744.026,29092744.026
geo_generic,19,19,30709007.583,30709007.583,2.974930624,2.974930624,297.43862264999996,146320804.86699998,9.238448869,1500000,subscribers_low,launcher_ait,unknown_hyg,scenario2,scenario,Representative,hydrocarbon,2047267.1722000001,2047267.1722000001
starlink,4425,192,310322602.944,310322602.944,30.062456832000002,30.062456832000002,3005.6955552,1478610238.656,93.356956992,2500000,subscribers_low,launcher_ait,unknown_hyc,scenario3,scenario,Representative,hydrogen,62064520.5888,62064520.5888
oneweb,648,18,29092744.026,29092744.026,2.818355328,2.818355328,281.7839583,138619709.87399998,8.752214718,500000,subscribers_low,launcher_ait,unknown_hyc,scenario3,scenario,Representative,hydrogen,5818548.8052,5818548.8052
kuiper,3236,90,145463720.13,145463720.13,14.09177664,14.09177664,1408.9197915,693098549.37,43.76107359,1500000,subscribers_low,launcher_ait,unknown_hyc,scenario3,scenario,Representative,hydrogen,29092744.026,29092744.026
geo_generic,19,19,30709007.583,30709007.583,2.974930624,2.974930624,297.43862264999996,146320804.86699998,9.238448869,1500000,subscribers_low,launcher_ait,unknown_hyc,scenario3,scenario,Representative,hydrogen,2047267.1722000001,2047267.1722000001
starlink,4425,127,602583674.053,602583674.053,69.453080931,69.453080931,4181.68225892,1942204802.3999999,175.098451428,2500000,subscribers_low,propellant_production,falcon9,scenario1,Historical,Modeled,hydrocarbon,120516734.8106,120516734.8106
