scenario,constellation,iteration,number_of_satellites,satellite_coverage_area,pop_density_km2,users_per_km2,active_users_km2,per_user_capacity
baseline,OneWeb,30,720,708333.3333333334,0.1,0.1,0.005,1.8603794823529411
baseline,OneWeb,31,720,708333.3333333334,0.1,0.1,0.005,1.8603794823529411
baseline,OneWeb,32,720,708333.3333333334,0.1,0.1,0.005,1.8603794823529411
baseline,OneWeb,33,720,708333.3333333334,0.1,0.1,0.005,1.8603794823529411
baseline,OneWeb,34,720,708333.3333333334,0.1,0.1,0.005,1.8603794823529411
baseline,OneWeb,35,720,708333.3333333334,0.1,0.1,0.005,1.8603794823529411
baseline,OneWeb,36,720,708333.3333333334,0.1,0.1,0.005,1.8603794823529411
baseline,OneWeb,37,720,708333.3333333334,0.1,0.1,0.005,1.8603794823529411
baseline,OneWeb,38,720,708333.3333333334,0.1,0.1,0.005,1.8603794823529411
baseline,OneWeb,39,720,708333.3333333334,0.1,0.1,0.005,1.8603794823529411
baseline,OneWeb,40,720,708333.3333333334,0.1,0.1,0.005,1.8603794823529411
baseline,OneWeb,41,720,708333.3333333334,0.1,0.1,0.005,1.8603794823529411
baseline,OneWeb,42,720,708333.3333333334,0.1,0.1,0.005,1.8603794823529411
baseline,OneWeb,43,720,708333.3333333334,0.1,0.1,0.005,1.8603794823529411
baseline,OneWeb,44,720,708333.3333333334,0.1,0.1,0.005,1.8603794823529411
baseline,OneWeb,45,720,708333.3333333334,0.1,0.1,0.005,1.8603794823529411
baseline,OneWeb,46,720,708333.3333333334,0.1,0.1,0.005,1.8603794823529411
baseline,OneWeb,47,720,708333.3333333334,0.1,0.1,0.005,1.8603794823529411
baseline,OneWeb,48,720,708333.3333333334,0.1,0.1,0.005,1.8603794823529411
baseline,OneWeb,49,720,708333.3333333334,0.1,0.1,0.005,1.8603794823529411
baseline,OneWeb,50,720,708333.3333333334,0.1,0.1,0.005,1.8603794823529411
baseline,OneWeb,51,720,708333.3333333334,0.1,0.1,0.005,1.8603794823529411
baseline,OneWeb,52,720,708333.3333333334,0.1,0.1,0.005,1.8603794823529411
baseline,OneWeb,53,720,708333.3333333334,0.1,0.1,0.005,1.8603794823529411
baseline,OneWeb,54,720,708333.3333333334,0.1,0.1,0.005,1.8603794823529411
baseline,OneWeb,55,720,708333.3333333334,0.1,0.1,0.005,1.8603794823529411
baseline,OneWeb,56,720,708333.3333333334,0.1,0.1,0.005,1.8603794823529411
baseline,OneWeb,57,720,708333.3333333334,0.1,0.1,0.005,1.8603794823529411
baseline,OneWeb,58,720,708333.3333333334,0.1,0.1,0.005,1.8603794823529411
baseline,OneWeb,59,720,708333.3333333334,0.1,0.1,0.005,1.8603794823529411
baseline,OneWeb,60,720,708333.3333333334,0.1,0.1,0.005,1.8603794823529411
baseline,OneWeb,61,720,708333.3333333334,0.1,0.1,0.005,1.8603794823529411
baseline,OneWeb,62,720,708333.3333333334,0.1,0.1,0.005,1.8603794823529411
baseline,OneWeb,63,720,708333.3333333334,0.1,0.1,0.005,1.8603794823529411
baseline,OneWeb,64,720,708333.3333333334,0.1,0.1,0.005,1.8603794823529411
baseline,OneWeb,65,720,708333.3333333334,0.1,0.1,0.005,1.8603794823529411
baseline,OneWeb,66,720,708333.3333333334,0.1,0.1,0.005,1.8603794823529411
baseline,OneWeb,67,720,708333.3333333334,0.1,0.1,0.005,1.8603794823529411
baseline,OneWeb,68,720,708333.3333333334,0.1,0.1,0.005,1.8603794823529411
baseline,OneWeb,69,720,708333.3333333334,0.1,0.1,0.005,1.8603794823529411
baseline,OneWeb,70,720,708333.3333333334,0.1,0.1,0.005,1.8603794823529411
baseline,OneWeb,71,720,708333.3333333334,0.1,0.1,0.005,1.8603794823529411
baseline,OneWeb,72,720,708333.3333333334,0.1,0.1,0.005,1.8603794823529411
