scenario,status,constellation,fcc_filling_number,rocket,representative_of,rocket_type,no_of_satellites,no_of_launches,impact_category,climate_change_baseline,climate_change_worst_case,ozone_depletion_baseline,ozone_depletion_worst_case,resource_depletion,freshwater_toxicity,human_toxicity
scenario2,Historical,oneweb,FCC 17-77,lvm3,Representative,hydrogen,72,2,propellant_production,,,,,,,
scenario2,scenario2,kuiper,FCC 20-102,unknown_hyc,Representative,hydrocarbon,"3,236",54,propellant_production,154268915.526,154268915.526,20.794519854,17.735583852,1070.35782642,496988845.992,44.823718547999995
scenario3,Historical,starlink,FCC 18-38,falcon9,Modeled,hydrocarbon,4425,127,propellant_production,602583674.053,602583674.053,69.453080931,69.453080931,4181.68225892,1942204802.3999999,175.098451428
scenario3,Historical,oneweb,FCC 17-77,soyuz,Modeled,hydrocarbon,394,14,propellant_production,13564742.7916,13564742.7916,1.539983522,1.539983522,94.02750686,43596603.372,3.93973664
scenario3,Historical,oneweb,FCC 17-77,falcon9,Modeled,hydrocarbon,96,3,propellant_production,14234260.016999999,14234260.016999999,1.640623959,1.640623959,98.77989588,45878853.599999994,4.136183892
scenario3,Historical,oneweb,FCC 17-77,lvm3,Representative,hydrogen,72,2,propellant_production,,,,,,,
scenario3,scenario3,kuiper,FCC 20-102,unknown_hyg,Representative,hydrogen,"1,079",18,propellant_production,,,,,,,
scenario3,scenario3,kuiper,FCC 20-102,unknown_hyc,Representative,hydrocarbon,"1,079",18,propellant_production,51422971.842,51422971.842,6.931506618,5.911861284,356.78594214000003,165662948.664,14.941239516
scenario3,scenario3,kuiper,FCC 20-102,unknown_hyc,Representative,hydrocarbon,"1,079",18,propellant_production,51422971.842,51422971.842,6.931506618,5.911861284,356.78594214000003,165662948.664,14.941239516
scenario1,Historical,starlink,FCC 18-38,falcon9,Modeled,hydrocarbon,4425,127,propellant_scheduling,710563846.459,710563846.459,63.426722905000005,63.426722905000005,35275.1345677,4692524738.63,308.854726968
scenario1,Historical,oneweb,FCC 17-77,soyuz,Modeled,hydrocarbon,394,14,propellant_scheduling,45126626.762,45126626.762,4.029880414,4.029880414,2236.8597720000002,297776364.76,19.593739746
scenario1,Historical,oneweb,FCC 17-77,falcon9,Modeled,hydrocarbon,96,3,propellant_scheduling,16784972.751000002,16784972.751000002,1.498269045,1.498269045,833.2708953,110847041.07,7.295780951999999
scenario1,Historical,oneweb,FCC 17-77,lvm3,Representative,hydrogen,72,2,propellant_scheduling,,,,,,,
scenario1,scenario1,kuiper,FCC 20-102,unknown_hyg,Representative,hydrogen,"3,236",90,propellant_scheduling,,,,,,,
scenario2,Historical,starlink,FCC 18-38,falcon9,Modeled,hydrocarbon,4425,127,propellant_scheduling,710563846.459,710563846.459,63.426722905000005,63.426722905000005,35275.1345677,4692524738.63,308.854726968
scenario2,Historical,oneweb,FCC 17-77,soyuz,Modeled,hydrocarbon,394,14,propellant_scheduling,45126626.762,45126626.762,4.029880414,4.029880414,2236.8597720000002,297776364.76,19.593739746
scenario2,Historical,oneweb,FCC 17-77,falcon9,Modeled,hydrocarbon,96,3,propellant_scheduling,16784972.751000002,16784972.751000002,1.498269045,1.498269045,833.2708953,110847041.07,7.295780951999999
scenario2,Historical,oneweb,FCC 17-77,lvm3,Representative,hydrogen,72,2,propellant_scheduling,,,,,,,
scenario2,scenario2,kuiper,FCC 20-102,unknown_hyc,Representative,hydrocarbon,"3,236",54,propellant_scheduling,238094677.8,238094677.8,21.256333632,21.256333632,11813.381901,1571906359.08,103.449955194
scenario3,Historical,starlink,FCC 18-38,falcon9,Modeled,hydrocarbon,4425,127,propellant_scheduling,710563846.459,710563846.459,63.426722905000005,63.426722905000005,35275.1345677,4692524738.63,308.854726968
