constellation,number_of_satellites,constellation_capacity_mbps,satellite_coverage_area_km,capacity_per_user,subscribers,monthly_gb,user_per_area,cnr_scenario,subscriber_scenario
GEO,19,5977413.2544,26842105.2632,19.924710848,1500000,268.983596448,0.004389815627736749,high,subscribers_low
GEO,19,7183023.6896,26842105.2632,23.94341229866667,1500000,323.23606603200005,0.004389815627736749,high,subscribers_low
GEO,19,1317900.0339,26842105.2632,4.393000112999999,1500000,59.30550152549999,0.004389815627736749,low,subscribers_low
GEO,19,5746848.3091,26842105.2632,19.156161030333333,1500000,258.60817390949995,0.004389815627736749,high,subscribers_low
GEO,19,4992290.4928,26842105.2632,16.640968309333335,1500000,224.65307217600002,0.004389815627736749,high,subscribers_low
GEO,19,1317900.0339,26842105.2632,4.393000112999999,1500000,59.30550152549999,0.004389815627736749,low,subscribers_low
GEO,19,5977413.2544,26842105.2632,19.924710848,1500000,268.983596448,0.004389815627736749,high,subscribers_low
GEO,19,2694748.3187,26842105.2632,8.982494395666667,1500000,121.26367434149999,0.004389815627736749,baseline,subscribers_low
GEO,19,6379291.8182,26842105.2632,21.264306060666666,1500000,287.06813181900003,0.004389815627736749,high,subscribers_low
GEO,19,6379291.8182,26842105.2632,21.264306060666666,1500000,287.06813181900003,0.004389815627736749,high,subscribers_low
GEO,19,1317900.0339,26842105.2632,4.393000112999999,1500000,59.30550152549999,0.004389815627736749,low,subscribers_low
GEO,19,1317900.0339,26842105.2632,4.393000112999999,1500000,59.30550152549999,0.004389815627736749,low,subscribers_low
GEO,19,8321654.3642,26842105.2632,27.738847880666665,1500000,374.474446389,0.004389815627736749,high,subscribers_low
GEO,19,1317900.0339,26842105.2632,4.393000112999999,1500000,59.30550152549999,0.004389815627736749,low,subscribers_low
GEO,19,3299233.0816,26842105.2632,10.997443605333334,1500000,148.46548867200002,0.004389815627736749,baseline,subscribers_low
GEO,19,5977413.2544,26842105.2632,19.924710848,1500000,268.983596448,0.004389815627736749,high,subscribers_low
GEO,19,14351701.7894,26842105.2632,47.83900596466667,1500000,645.8265805230001,0.004389815627736749,high,subscribers_low
GEO,19,1317900.0339,26842105.2632,4.393000112999999,1500000,59.30550152549999,0.004389815627736749,low,subscribers_low
GEO,19,3299233.0816,26842105.2632,10.997443605333334,1500000,148.46548867200002,0.004389815627736749,baseline,subscribers_low
GEO,19,1720889.8758,26842105.2632,5.736299586,1500000,77.44004441100002,0.004389815627736749,low,subscribers_low
GEO,19,5746848.3091,26842105.2632,19.156161030333333,1500000,258.60817390949995,0.004389815627736749,high,subscribers_low
GEO,19,3299233.0816,26842105.2632,10.997443605333334,1500000,148.46548867200002,0.004389815627736749,baseline,subscribers_low
GEO,19,3299233.0816,26842105.2632,10.997443605333334,1500000,148.46548867200002,0.004389815627736749,baseline,subscribers_low
GEO,19,1317900.0339,26842105.2632,4.393000112999999,1500000,59.30550152549999,0.004389815627736749,low,subscribers_low
GEO,19,1317900.0339,26842105.2632,4.393000112999999,1500000,59.30550152549999,0.004389815627736749,low,subscribers_low
GEO,19,7183023.6896,26842105.2632,23.94341229866667,1500000,323.23606603200005,0.004389815627736749,high,subscribers_low
GEO,19,3299233.0816,26842105.2632,10.997443605333334,1500000,148.46548867200002,0.004389815627736749,baseline,subscribers_low
GEO,19,10972961.8125,26842105.2632,36.576539375,1500000,493.7832815625,0.004389815627736749,high,subscribers_low
GEO,19,1720889.8758,26842105.2632,5.736299586,1500000,77.44004441100002,0.004389815627736749,low,subscribers_low
GEO,19,10972961.8125,26842105.2632,36.576539375,1500000,493.7832815625,0.004389815627736749,high,subscribers_low
GEO,19,8321654.3642,26842105.2632,27.738847880666665,1500000,374.474446389,0.004389815627736749,high,subscribers_low
GEO,19,14351701.7894,26842105.2632,47.83900596466667,1500000,645.8265805230001,0.004389815627736749,high,subscribers_low
GEO,19,2694748.3187,26842105.2632,8.982494395666667,1500000,121.26367434149999,0.004389815627736749,baseline,subscribers_low
GEO,19,11641824.935,26842105.2632,38.80608311666667,1500000,523.8821220750001,0.004389815627736749,high,subscribers_low
GEO,19,1720889.8758,26842105.2632,5.736299586,1500000,77.44004441100002,0.004389815627736749,low,subscribers_low
GEO,19,7183023.6896,26842105.2632,23.94341229866667,1500000,323.23606603200005,0.004389815627736749,high,subscribers_low
GEO,19,1317900.0339,26842105.2632,4.393000112999999,1500000,59.30550152549999,0.004389815627736749,low,subscribers_low
GEO,19,2694748.3187,26842105.2632,8.982494395666667,1500000,121.26367434149999,0.004389815627736749,baseline,subscribers_low
GEO,19,5746848.3091,26842105.2632,19.156161030333333,1500000,258.60817390949995,0.004389815627736749,high,subscribers_low
GEO,19,6249878.4346,26842105.2632,20.832928115333335,1500000,281.244529557,0.004389815627736749,high,subscribers_low
GEO,19,3299233.0816,26842105.2632,10.997443605333334,1500000,148.46548867200002,0.004389815627736749,baseline,subscribers_low
GEO,19,1317900.0339,26842105.2632,4.393000112999999,1500000,59.30550152549999,0.004389815627736749,low,subscribers_low
