,constellation,signal_path,signal_path_scenario,satellite_coverage_area_km,dl_frequency_Hz,center_frequency,path_loss,earth_atmospheric_losses_dB,atmospheric_loss_scenario,losses,antenna_gain,eirp_dB,noise,received_power_dB,received_power_scenario,cnr,cnr_scenario,spectral_efficiency,channel_capacity,constellation_capacity,capacity_per_single_satellite,capacity_per_area_mbps/sqkm,adoption_rate_scenario,adoption_rate,demand_density_mbps_sqkm,satellite_launch_cost,ground_station_cost,spectrum_cost,regulation_fees,digital_infrastructure_cost,ground_station_energy,subscriber_acquisition,staff_costs,research_development,maintenance_costs,total_cost_ownership,capex_scenario,cost_per_capacity,aluminium_oxide_emissions,sulphur_oxide_emissions,carbon_oxide_emissions,cfc_gases_emissions,particulate_matter_emissions,photochemical_oxidation_emissions,total_emissions_t
3013,OneWeb,1266.9287009667644,Baseline,708333.3333333334,12000000000.0,12 GHz,176.0886684159696,7,Low,7.53,36.02397691713547,66.02397691713547,-89.99782907027767,-87.59469149883414,Baseline,2.403137571443537,High,1.647211,411.80275,4743967.68,6588.844,6.697366136470587,Baseline,0.5,0.0375,150000000,24000000.0,125000000,7200000,3550000,3250000,50000000,7500000,60000000,13000000,917770879.9317157,High,100289980.0861631,7.36,5.152,1854.72,103.04,8.9792,134.222848,2113.474048
3014,OneWeb,1266.9287009667644,Baseline,708333.3333333334,12000000000.0,12 GHz,176.0886684159696,7,Low,7.53,36.02397691713547,66.02397691713547,-89.99782907027767,-87.59469149883414,Baseline,2.403137571443537,High,1.647211,411.80275,4743967.68,6588.844,6.697366136470587,High,1.0,0.075,150000000,24000000.0,125000000,7200000,3550000,3250000,50000000,7500000,60000000,13000000,917770879.9317157,High,100289980.0861631,7.36,5.152,1854.72,103.04,8.9792,134.222848,2113.474048
3015,OneWeb,1266.9287009667644,Baseline,708333.3333333334,12000000000.0,12 GHz,176.0886684159696,7,Low,7.53,36.02397691713547,66.02397691713547,-89.99782907027767,-87.59469149883414,Baseline,2.403137571443537,High,1.647211,411.80275,4743967.68,6588.844,6.697366136470587,Low,0.01,0.00075,213672000,16000000.0,125000000,7200000,3550000,3250000,50000000,7500000,60000000,13000000,973442879.9317157,High,106373572.29141188,7.36,5.152,1854.72,103.04,8.9792,134.222848,2113.474048
3016,OneWeb,1266.9287009667644,Baseline,708333.3333333334,12000000000.0,12 GHz,176.0886684159696,7,Low,7.53,36.02397691713547,66.02397691713547,-89.99782907027767,-87.59469149883414,Baseline,2.403137571443537,High,1.647211,411.80275,4743967.68,6588.844,6.697366136470587,Baseline,0.5,0.0375,213672000,16000000.0,125000000,7200000,3550000,3250000,50000000,7500000,60000000,13000000,973442879.9317157,High,106373572.29141188,7.36,5.152,1854.72,103.04,8.9792,134.222848,2113.474048
3017,OneWeb,1266.9287009667644,Baseline,708333.3333333334,12000000000.0,12 GHz,176.0886684159696,7,Low,7.53,36.02397691713547,66.02397691713547,-89.99782907027767,-87.59469149883414,Baseline,2.403137571443537,High,1.647211,411.80275,4743967.68,6588.844,6.697366136470587,High,1.0,0.075,213672000,16000000.0,125000000,7200000,3550000,3250000,50000000,7500000,60000000,13000000,973442879.9317157,High,106373572.29141188,7.36,5.152,1854.72,103.04,8.9792,134.222848,2113.474048
3018,OneWeb,1266.9287009667644,Baseline,708333.3333333334,12000000000.0,12 GHz,176.0886684159696,7,Low,7.53,36.02397691713547,66.02397691713547,-89.99782907027767,-87.59469149883414,Baseline,2.403137571443537,High,1.647211,411.80275,4743967.68,6588.844,6.697366136470587,Low,0.01,0.00075,213672000,20000000.0,125000000,7200000,3550000,3250000,50000000,7500000,60000000,13000000,977442879.9317157,High,106810674.76340848,7.36,5.152,1854.72,103.04,8.9792,134.222848,2113.474048
3019,OneWeb,1266.9287009667644,Baseline,708333.3333333334,12000000000.0,12 GHz,176.0886684159696,7,Low,7.53,36.02397691713547,66.02397691713547,-89.99782907027767,-87.59469149883414,Baseline,2.403137571443537,High,1.647211,411.80275,4743967.68,6588.844,6.697366136470587,Baseline,0.5,0.0375,213672000,20000000.0,125000000,7200000,3550000,3250000,50000000,7500000,60000000,13000000,977442879.9317157,High,106810674.76340848,7.36,5.152,1854.72,103.04,8.9792,134.222848,2113.474048
3020,OneWeb,1266.9287009667644,Baseline,708333.3333333334,12000000000.0,12 GHz,176.0886684159696,7,Low,7.53,36.02397691713547,66.02397691713547,-89.99782907027767,-87.59469149883414,Baseline,2.403137571443537,High,1.647211,411.80275,4743967.68,6588.844,6.697366136470587,High,1.0,0.075,213672000,20000000.0,125000000,7200000,3550000,3250000,50000000,7500000,60000000,13000000,977442879.9317157,High,106810674.76340848,7.36,5.152,1854.72,103.04,8.9792,134.222848,2113.474048
3021,OneWeb,1266.9287009667644,Baseline,708333.3333333334,12000000000.0,12 GHz,176.0886684159696,7,Low,7.53,36.02397691713547,66.02397691713547,-89.99782907027767,-87.59469149883414,Baseline,2.403137571443537,High,1.647211,411.80275,4743967.68,6588.844,6.697366136470587,Low,0.01,0.00075,213672000,24000000.0,125000000,7200000,3550000,3250000,50000000,7500000,60000000,13000000,981442879.9317157,High,107247777.23540507,7.36,5.152,1854.72,103.04,8.9792,134.222848,2113.474048
3022,OneWeb,1266.9287009667644,Baseline,708333.3333333334,12000000000.0,12 GHz,176.0886684159696,7,Low,7.53,36.02397691713547,66.02397691713547,-89.99782907027767,-87.59469149883414,Baseline,2.403137571443537,High,1.647211,411.80275,4743967.68,6588.844,6.697366136470587,Baseline,0.5,0.0375,213672000,24000000.0,125000000,7200000,3550000,3250000,50000000,7500000,60000000,13000000,981442879.9317157,High,107247777.23540507,7.36,5.152,1854.72,103.04,8.9792,134.222848,2113.474048
