constellation,no_of_launches,climate_change_baseline_kg,climate_change_worst_case_kg,ozone_depletion_baseline_kg,ozone_depletion_worst_case_kg,resource_depletion_kg,freshwater_toxicity_m3,human_toxicity,subscribers,annual_baseline_emission_kg,annual_worst_case_emission_kg,baseline_social_carbon_cost_usd,worst_case_social_carbon_cost_usd,annual_baseline_scc_per_subscriber_usd,annual_worst_case_scc_per_subscriber_usd,subscriber_scenario,impact_category,scenario,rocket_type,rocket_detailed
kuiper,3,16999670.226,16999670.226,2.3336112150000003,2.3336112150000003,99.67802994,56050190.46,5.087584104,1500000,3399934.0452,3399934.0452,3144938.9918099996,3144938.9918099996,0.41932519890799996,0.41932519890799996,subscribers_low,launch_campaign,scenario1,hydrocarbon,falcon9
kuiper,2,11333113.484,11333113.484,1.55574081,1.55574081,66.45201996,37366793.64,3.391722736,1500000,2266622.6968,2266622.6968,2096625.9945399999,2096625.9945399999,0.2795501326053333,0.2795501326053333,subscribers_low,launch_campaign,scenario1,hydrocarbon,unknown_hydrocarbon
kuiper,2,11333113.484,11333113.484,1.55574081,1.55574081,66.45201996,37366793.64,3.391722736,1500000,2266622.6968,2266622.6968,2096625.9945399999,2096625.9945399999,0.2795501326053333,0.2795501326053333,subscribers_low,launch_campaign,scenario1,hydrogen,unknown_hydrogen
geo_generic,10,56665567.419999994,56665567.419999994,7.77870405,7.77870405,332.26009980000003,186833968.2,16.95861368,1500000,3777704.4946666663,3777704.4946666663,10483129.972699998,10483129.972699998,0.4659168876755555,0.4659168876755555,subscribers_low,launch_campaign,scenario1,hydrocarbon,unknown_hydrocarbon
geo_generic,9,50999010.677999996,50999010.677999996,7.000833645,7.000833645,299.03408982,168150571.38,15.262752312,1500000,3399934.0451999996,3399934.0451999996,9434816.97543,9434816.97543,0.419325198908,0.419325198908,subscribers_low,launch_campaign,scenario1,hydrogen,unknown_hydrogen
starlink,127,80069199.17040001,3394577785.38,868321.86,3907448.37,0,0,0,3500000,16013839.834080001,678915557.076,14812801.846524002,627996890.2953,0.8464458198013716,35.88553658830286,subscribers_baseline,launch_event,scenario1,hydrocarbon,falcon9
oneweb,14,4041171.5344000002,168440120.66,44199.96,194211.5,0,0,0,800000,808234.30688,33688024.132,747616.7338640001,31161422.3221,0.18690418346600002,7.790355580525,subscribers_baseline,launch_event,scenario1,hydrocarbon,soyuz
oneweb,5,3152330.676,133644794.7,34185.9,153836.55000000002,0,0,0,800000,630466.1352,26728958.94,583181.17506,24724287.0195,0.145795293765,6.181071754874999,subscribers_baseline,launch_event,scenario1,hydrocarbon,falcon9
oneweb,2,935633.6,215286686.4,173457.2,422167.2,0,0,0,800000,187126.72,43057337.28,173092.216,39828036.984,0.04327305399999999,9.957009245999998,subscribers_baseline,launch_event,scenario1,hydrogen,lvm3_hydrogen
kuiper,18,8420702.4,1937580177.6000001,1561114.8,3799504.8000000003,0,0,0,2500000,1684140.48,387516035.52000004,1557829.9440000001,358452332.856,0.12462639552000002,28.67618662848,subscribers_baseline,launch_event,scenario1,hydrogen,ariane_6_hydrogen
